Résumé;Clé de ticket;ID de ticket;ID parent;Type de ticket;état;Clé de projet;Nom du projet;Type de projet;Chef de projet;Description du projet;URL du projet;Priorité;Résolution;Responsable;Rapporteur;Créateur;Création;Mise à jour;Dernier affichage;Résolue;Date d'échéance;Votes;Descriptif;Environnement;Gérer les observateurs;Estimation originale;Estimation restante;Temps consacré;Ratio du travail réel comparé à l'estimation;l' Estimation originale;l' Estimation restante;le Temps consacré;Niveau de sécurité;Champs personnalisés (Epic Color);Champs personnalisés (Epic Link);Champs personnalisés (Epic Name);Champs personnalisés (Epic Status);Champs personnalisés (Rank);Sprint;Champs personnalisés (Story Points);;
Fix permition issues;DEV-70;10401;10295;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;29/avr./22 12:31 PM;29/avr./22 12:31 PM;05/oct./22 9:44 AM;29/avr./22 12:31 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000k7:;SEMAINE 25/04 - 08/05;;;
Collect logs from private ip;DEV-69;10400;10295;Sous-tâche;En cours;DEV;DevOps;software;adminjira;;;Medium;;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;29/avr./22 12:29 PM;29/avr./22 1:11 PM;05/oct./22 9:47 AM;;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000jz:;SEMAINE 25/04 - 08/05;;;
Add the picture cropping feature just like it is on the edit campaign page picture upload;VER-2;10312;10311;Sous-tâche;A faire;VER;Vertivalraise;software;adminjira;;;High;;;aristide.mbassi;aristide.mbassi;29/avr./22 9:02 AM;29/avr./22 9:02 AM;05/oct./22 9:43 AM;;;0;;;aristide.mbassi;;;;;;;;;;;;;0|i000jr:;;;;
Auto approve picture upload changes;VER-1;10311;;Récit;A faire;VER;Vertivalraise;software;adminjira;;;High;;aristide.mbassi;aristide.mbassi;aristide.mbassi;29/avr./22 8:58 AM;29/avr./22 9:01 AM;05/oct./22 9:47 AM;;;0;Make it so the system will auto approve certain pages.;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"*I think we will need to add a section for the rep to upload the logo on this page so that it gets uploaded to Amply since this will be approved right away. This will also upload the logo to the system so the success email will have the logo in the PDF.""";;aristide.mbassi;;;;;;;;;;;;;0|i000jj:;;;;;;;;;;;;;;;;;;;;;;;;;;;
Add network lab server logs ;DEV-68;10310;10295;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;28/avr./22 4:10 PM;28/avr./22 4:11 PM;05/oct./22 9:47 AM;28/avr./22 4:10 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000jb:;SEMAINE 25/04 - 08/05;;;
Variabilize docker compose file;DEV-67;10309;10295;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;28/avr./22 4:09 PM;28/avr./22 4:10 PM;05/oct./22 9:47 AM;28/avr./22 4:10 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000j3:;SEMAINE 25/04 - 08/05;;;
Configure HTTPS;DEV-66;10308;10295;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;27/avr./22 8:51 AM;29/avr./22 1:10 PM;05/oct./22 9:47 AM;29/avr./22 1:10 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000iv:;SEMAINE 25/04 - 08/05;;;
Configure Graylog to read containers logs;DEV-65;10307;10295;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;27/avr./22 8:50 AM;28/avr./22 4:09 PM;05/oct./22 9:47 AM;28/avr./22 4:09 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000in:;SEMAINE 25/04 - 08/05;;;
